"brand","n","median_price","median_age","dep_pct_yr","dep_pct_yr_adj","r2"
"Mercedes",256,359850,2.7,5.5,6,0.23
"MINI",298,169900,3.5,7.3,5.4,0.42
"Tesla",739,244900,3.7,7.9,4.9,0.36
"Mazda",283,149900,6.9,8.3,7,0.56
"BMW",262,356200,2.8,9.2,8.4,0.44
"Subaru",81,239800,5.3,9.3,10,0.75
"Volvo",689,275000,3.4,9.8,9.7,0.56
"Fiat",289,107800,5.1,10.8,9.8,0.85
"Audi",289,369900,3.1,11,10.7,0.66
"Honda",154,106950,10.5,11.1,9,0.69
"Dacia",173,84900,7,11.2,11.7,0.62
"Peugeot",284,127840,6,11.2,9.5,0.7
"Toyota",701,129900,6.6,11.4,10.8,0.65
"Mitsubishi",118,68300,9.6,11.5,10.2,0.51
"Nissan",285,144900,6.8,11.8,11,0.7
"Opel",276,119900,5.8,11.9,11.7,0.8
"Citroën",286,96995,6.1,12.1,11.1,0.83
"Suzuki",284,109700,7.1,12.5,11.4,0.81
"Renault",285,116800,6.9,12.9,11.7,0.78
"VW",738,239900,3.3,12.9,12.3,0.77
"Seat",293,149800,6.9,13.8,14.2,0.63
"Ford",263,149800,6.2,14,13,0.78
"Skoda",714,234900,4.1,14.2,14.7,0.85
"Hyundai",702,154900,4.5,14.6,14.9,0.8
"Kia",290,174800,4.3,15.2,15.1,0.86
