"query","scraped_at","make","model","variant","kontantpris","reg_month","reg_year","mileage_km","hk","fueltype","geartype"
"subaru-solterra","2026-09-06","Subaru","Solterra","71 Touring 5d",269900,3,2025,3000,218,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","71 Touring 5d",249900,12,2023,50800,218,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","71 Touring+ 5d",289900,6,2025,5200,218,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","71 Touring 5d",259900,3,2025,19500,218,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","71 Touring+ 5d",249495,7,2024,25000,218,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","71 Touring 5d",239900,12,2023,44000,218,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","71 Touring 5d",259895,8,2025,16000,218,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","71 Touring 5d",259900,4,2024,9700,218,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","71 Touring 5d",249900,10,2023,38250,218,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","73 Limited 5d",334900,"","",2,343,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","71 Touring 5d",249900,6,2024,27500,218,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","71 Touring+ 5d",269900,2,2024,15500,218,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","73 Touring+ 5d",354900,1,2026,1500,343,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","71 Touring 5d",239900,10,2023,46000,218,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","71 Touring 5d",249900,1,2024,43589,218,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","71 Touring 5d",264800,12,2023,1000,218,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","71 Touring 5d",299800,4,2025,31000,218,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","71 Touring 5d",244800,3,2023,34000,218,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","73 Touring+ 5d",359900,5,2026,1800,343,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","73 Limited 5d",334900,"","",9,343,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","71 Touring 5d",269800,1,2024,58000,218,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","71 Limited 5d",299900,10,2025,15000,218,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","71 Touring+ 5d",279900,9,2024,54000,218,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","73 Touring+ 5d",364900,"","",0,343,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","71 Touring 5d",274800,5,2024,60500,218,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","71 Limited 5d",259280,2,2024,30000,218,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","71 Touring 5d",264800,12,2023,7000,218,"El","Automatisk gear"
"subaru-solterra","2026-09-06","Subaru","Solterra","73 Touring 5d",354700,1,2026,0,343,"El","Automatisk gear"
"toyota-bz4x","2026-09-06","Toyota","bZ4X","Executive Premium 5d",299800,10,2025,10,204,"El","Automatisk gear"
"toyota-bz4x","2026-09-06","Toyota","bZ4X","Active 5d",244900,7,2023,24000,204,"El","Automatisk gear"
"toyota-bz4x","2026-09-06","Toyota","bZ4X","73 Executive AWD 5d",344800,12,2025,6700,343,"El","Automatisk gear"
"toyota-bz4x","2026-09-06","Toyota","bZ4X","Executive 5d",249900,7,2023,48000,204,"El","Automatisk gear"
"toyota-bz4x","2026-09-06","Toyota","bZ4X","Active Design 5d",239900,11,2023,30825,204,"El","Automatisk gear"
"toyota-bz4x","2026-09-06","Toyota","bZ4X","73 Active 5d",319900,5,2026,2000,224,"El","Automatisk gear"
"toyota-bz4x","2026-09-06","Toyota","bZ4X","73 Active 5d",319900,5,2026,2000,224,"El","Automatisk gear"
"toyota-bz4x","2026-09-06","Toyota","bZ4X","73 Executive 5d",334900,5,2026,7000,224,"El","Automatisk gear"
"toyota-bz4x","2026-09-06","Toyota","bZ4X","73 Executive 5d",334900,3,2026,5000,224,"El","Automatisk gear"
"toyota-bz4x","2026-09-06","Toyota","bZ4X","Prestige 5d",254900,1,2025,38000,204,"El","Automatisk gear"
"toyota-bz4x","2026-09-06","Toyota","bZ4X","73 Active 5d",319900,5,2026,2000,224,"El","Automatisk gear"
"toyota-bz4x","2026-09-06","Toyota","bZ4X","Active 5d",229900,6,2022,44000,204,"El","Automatisk gear"
"toyota-bz4x","2026-09-06","Toyota","bZ4X","73 Active Tech 5d",299800,6,2026,2,224,"El","Automatisk gear"
"toyota-bz4x","2026-09-06","Toyota","bZ4X","73 Executive 5d",339900,6,2026,8000,224,"El","Automatisk gear"
"toyota-bz4x","2026-09-06","Toyota","bZ4X","73 Active 5d",319900,6,2026,2200,224,"El","Automatisk gear"
"toyota-bz4x","2026-09-06","Toyota","bZ4X","73 Executive 5d",329800,5,2026,6500,224,"El","Automatisk gear"
