"brand","grp","n","r2","dep_adj_pct","dep_adj_shrunk_pct","b","se","b_shrunk","sd_shrunk","mu_grp","tau_grp"
"Mercedes","benzin",24,0.6,0.2,2.1,-0.00230958331676865,0.0181673605849148,-0.0209139553464958,0.0162893987950659,-0.0972033107327692,0.0367888575239382
"BMW","benzin",21,0.14,2.5,3.4,-0.0251491226314467,0.014695677150972,-0.0350645057522096,0.0136471333869202,-0.0972033107327692,0.0367888575239382
"Mazda","benzin",180,0.51,4.3,4.5,-0.0442510226562237,0.00751599576999251,-0.0463726364142371,0.00736388668786537,-0.0972033107327692,0.0367888575239382
"MINI","benzin",49,0.65,4.6,5.1,-0.046886289791709,0.0134392819409626,-0.0528105205929839,0.012623355869025,-0.0972033107327692,0.0367888575239382
"Mitsubishi","benzin",89,0.52,5.8,6.1,-0.0593114971235747,0.0120876074196629,-0.0630035749102759,0.0114836256345361,-0.0972033107327692,0.0367888575239382
"Peugeot","benzin",112,0.65,6.5,6.7,-0.067708563926591,0.00814936689256327,-0.0690881709183917,0.00795649250857054,-0.0972033107327692,0.0367888575239382
"Fiat","benzin",146,0.8,7.4,7.4,-0.0768459330771846,0.00585613494988598,-0.0773490210154384,0.00578332151419583,-0.0972033107327692,0.0367888575239382
"Honda","benzin",96,0.67,7.5,7.7,-0.0774518253812414,0.0143707775153989,-0.0800667104033949,0.0133857502980085,-0.0972033107327692,0.0367888575239382
"Audi","benzin",37,0.78,8,8.3,-0.0837561511801172,0.0170728636473843,-0.0861390361896702,0.0154864746049127,-0.0972033107327692,0.0367888575239382
"Kia","benzin",105,0.7,8.8,8.8,-0.0922760548666434,0.0101846046956462,-0.0926267989372596,0.00981542055816908,-0.0972033107327692,0.0367888575239382
"Opel","benzin",149,0.75,9.1,9.1,-0.0952790455098034,0.00816505812086036,-0.0953693830309833,0.00797109381114469,-0.0972033107327692,0.0367888575239382
"Citroën","benzin",127,0.81,9.2,9.2,-0.0965710140878174,0.00786749196800495,-0.0965986669205752,0.00769353043014655,-0.0972033107327692,0.0367888575239382
"Ford","benzin",128,0.61,9.3,9.3,-0.0971479008508403,0.0117489227056022,-0.0971530291401349,0.0111920320947731,-0.0972033107327692,0.0367888575239382
"Nissan","benzin",183,0.65,10.1,10,-0.106429222650664,0.00930561893125906,-0.105874427134777,0.00902148684517496,-0.0972033107327692,0.0367888575239382
"Toyota","benzin",240,0.68,10,10,-0.105302995487699,0.0064851784332491,-0.105058883496545,0.0063867041594702,-0.0972033107327692,0.0367888575239382
"Hyundai","benzin",147,0.76,10.5,10.4,-0.1107495618263,0.00911222051909912,-0.10996653567986,0.0088449396162443,-0.0972033107327692,0.0367888575239382
"Renault","benzin",132,0.71,10.9,10.8,-0.115142213194155,0.00921353844824352,-0.1140834557515,0.00893751132122173,-0.0972033107327692,0.0367888575239382
"Suzuki","benzin",278,0.81,11.2,11.1,-0.118518090643781,0.00513008756813997,-0.118111522042805,0.00508092509471374,-0.0972033107327692,0.0367888575239382
"Volvo","benzin",32,0.84,11.8,11.4,-0.125510281506543,0.0149276036625286,-0.121508553611081,0.0138322675330982,-0.0972033107327692,0.0367888575239382
"Dacia","benzin",108,0.75,11.8,11.6,-0.125549724549712,0.00927843852051673,-0.123854475971863,0.00899671439788959,-0.0972033107327692,0.0367888575239382
"Skoda","benzin",139,0.73,12.5,12.2,-0.133433992373874,0.0105618759315877,-0.130675137026217,0.0101517873892448,-0.0972033107327692,0.0367888575239382
"Seat","benzin",242,0.61,12.9,12.6,-0.138012242642855,0.00997900659135062,-0.135215425645329,0.00963098512627908,-0.0972033107327692,0.0367888575239382
"Subaru","benzin",29,0.9,13.4,12.8,-0.144151109460068,0.0156901849681675,-0.136925750331805,0.014432394884193,-0.0972033107327692,0.0367888575239382
"VW","benzin",79,0.77,14.6,14.2,-0.157839136056131,0.0110361781078938,-0.152832907096082,0.0105707793721346,-0.0972033107327692,0.0367888575239382
"Tesla","el",289,0.33,1.7,2,-0.0171833096794955,0.00794300712945531,-0.0197291612765771,0.00783598389281052,-0.112297579629215,0.0478960647171612
"Mercedes","el",175,0.02,1.4,2.8,-0.013659888769702,0.020228611075737,-0.0285909979803797,0.0186347864241553,-0.112297579629215,0.0478960647171612
"Ford","el",56,0.33,6.2,6.8,-0.0639219878017787,0.0191776204466727,-0.0706060118124773,0.0178035122206861,-0.112297579629215,0.0478960647171612
"Toyota","el",32,0.58,6.2,6.8,-0.0642188103421165,0.01892534466142,-0.0707116456979921,0.0176011221139336,-0.112297579629215,0.0478960647171612
"Citroën","el",90,0.27,6.6,7.1,-0.0687740303530584,0.0162129003351894,-0.0732484167885344,0.0153569307094904,-0.112297579629215,0.0478960647171612
"Audi","el",216,0.33,8.6,8.8,-0.0902790049635645,0.0142282328070753,-0.0920645211746699,0.0136391444715923,-0.112297579629215,0.0478960647171612
"Honda","el",21,0.76,9.4,9.6,-0.0992022676899781,0.0191288820958739,-0.101003716897837,0.0177644971530354,-0.112297579629215,0.0478960647171612
"Fiat","el",131,0.46,10,10,-0.105164643818873,0.0150876828230669,-0.10580855349404,0.0143905750711324,-0.112297579629215,0.0478960647171612
"Hyundai","el",99,0.22,9.8,10,-0.102931905555005,0.0259174522733173,-0.10505314407267,0.0227942372411533,-0.112297579629215,0.0478960647171612
"Opel","el",79,0.19,10.1,10.2,-0.105921720345821,0.0251372165411543,-0.107298649947061,0.0222580102691401,-0.112297579629215,0.0478960647171612
"Volvo","el",161,0.38,11.2,11.1,-0.118697103410498,0.0212990840165367,-0.117640522581159,0.0194615473218964,-0.112297579629215,0.0478960647171612
"Peugeot","el",74,0.4,11.4,11.3,-0.121501843139339,0.0228196397419517,-0.119799042297926,0.0206009495319477,-0.112297579629215,0.0478960647171612
