"comparator","make","model","variant","kontantpris","reg_year","mileage_km","fueltype","hk"
"enyaq_85x","Skoda","Enyaq","80x iV Sportline 5d",299900,2022,52000,"El",265
"enyaq_85x","Skoda","Enyaq","80x iV ecoSuite 5d",329900,2023,64000,"El",265
"enyaq_85x","Skoda","Enyaq","80x iV Loft 5d",239800,2022,119000,"El",265
"enyaq_85x","Skoda","Enyaq","80x iV Sportline Maxx 5d",364900,2023,17500,"El",265
"enyaq_85x","Skoda","Enyaq","80x iV Plus 5d",269700,2023,60200,"El",265
"enyaq_85x","Skoda","Enyaq","80x iV 5d",259700,2021,94200,"El",265
"enyaq_85x","Skoda","Enyaq","80x iV Plus 5d",239900,2022,109000,"El",265
"enyaq_85x","Skoda","Enyaq","80x iV Suite 5d",243800,2021,59500,"El",265
"enyaq_85x","Skoda","Enyaq","80x iV ecoSuite 5d",279700,2023,53617,"El",265
"enyaq_85x","Skoda","Enyaq","80x iV Maxx 5d",254900,2023,44300,"El",265
"enyaq_85x","Skoda","Enyaq","80x iV ecoSuite 5d",294800,2023,52000,"El",265
"modely_lr","Tesla","Model Y","Long Range AWD 5d",182000,2021,197000,"El",384
"modely_lr","Tesla","Model Y","Long Range AWD 5d",258000,2022,79000,"El",514
"modely_lr","Tesla","Model Y","Performance AWD 5d",254800,2022,119525,"El",534
"modely_lr","Tesla","Model Y","Performance AWD 5d",289900,2022,61000,"El",534
"modely_lr","Tesla","Model Y","Long Range AWD 5d",237500,2022,84000,"El",514
"modely_lr","Tesla","Model Y","Performance AWD 5d",254900,2022,112000,"El",534
"modely_lr","Tesla","Model Y","Long Range AWD 5d",247000,2022,70000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",219999,2022,139000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",237000,2021,61000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",259900,2022,65000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",234700,2022,112000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",229700,2021,123000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",264800,2022,84000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",259800,2022,91000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",199800,2022,171000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",229900,2022,124100,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",244900,2021,79000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",204900,2022,151000,"El",384
"modely_lr","Tesla","Model Y","Long Range AWD 5d",259900,2022,97000,"El",514
"modely_lr","Tesla","Model Y","Performance AWD 5d",246000,2022,86000,"El",534
"modely_lr","Tesla","Model Y","Long Range AWD 5d",239500,2022,105000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",184500,2021,"2e+05","El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",289900,2022,33000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",269900,2022,56000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",239900,2021,126000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",229995,2022,149000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",259000,2022,86500,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",244900,2022,98000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",239700,2022,101400,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",218000,2021,112000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",249700,2022,116000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",244900,2021,81000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",249900,2022,89000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",264900,2022,68000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",219600,2021,154000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",229900,2022,135000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",249999,2022,102000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",229800,2021,124000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",239400,2021,99000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",258800,2022,103000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",232900,2022,103700,"El",514
"modely_lr","Tesla","Model Y","Performance AWD 5d",279900,2022,82000,"El",534
"modely_lr","Tesla","Model Y","Long Range AWD 5d",239400,2021,91000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",249900,2022,89000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",224900,2022,134000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",279900,2022,79000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",234900,2021,82000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",259999,2022,70000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",254800,2022,90000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",239900,2021,92000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",234900,2021,104000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",239900,2022,118000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",239900,2022,85000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",289500,2022,35000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",199900,2022,156000,"El",441
"modely_lr","Tesla","Model Y","Long Range AWD 5d",249500,2021,72000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",244900,2022,81840,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",235995,2021,75000,"El",441
"modely_lr","Tesla","Model Y","Long Range AWD 5d",279900,2022,71000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",194900,2021,171000,"El",384
"modely_lr","Tesla","Model Y","Long Range AWD 5d",239900,2022,88000,"El",514
"modely_lr","Tesla","Model Y","Long Range AWD 5d",245000,2022,87000,"El",514
