regime,scale,metric,lower,upper,dkk_half_year,udligning_half_year
co2,all,co2_g_km,0,58,460,120
co2,all,co2_g_km,58,65,520,120
co2,all,co2_g_km,65,73,540,120
co2,all,co2_g_km,73,80,570,120
co2,all,co2_g_km,80,87,600,120
co2,all,co2_g_km,87,102,640,120
co2,all,co2_g_km,102,116,700,520
co2,all,co2_g_km,116,131,760,930
co2,all,co2_g_km,131,145,800,1000
co2,all,co2_g_km,145,160,1220,1100
co2,all,co2_g_km,160,174,1630,1190
co2,all,co2_g_km,174,189,2080,1280
co2,all,co2_g_km,189,203,2500,1380
co2,all,co2_g_km,203,218,2910,1470
co2,all,co2_g_km,218,232,3330,1590
co2,all,co2_g_km,232,246,3740,1680
co2,all,co2_g_km,246,262,4180,1800
co2,all,co2_g_km,262,277,4600,1880
co2,all,co2_g_km,277,290,5020,1970
co2,all,co2_g_km,290,319,5840,2180
co2,all,co2_g_km,319,350,6720,2360
co2,all,co2_g_km,350,377,7550,2550
co2,all,co2_g_km,377,409,8380,2770
co2,all,co2_g_km,409,433,9230,2930
co2,all,co2_g_km,433,461,10080,3110
co2,all,co2_g_km,461,492,10920,3340
co2,all,co2_g_km,492,519,11760,3520
co2,all,co2_g_km,519,548,12630,3710
co2,all,co2_g_km,548,581,13470,3920
co2,all,co2_g_km,581,605,14300,4120
co2,all,co2_g_km,605,645,15140,4370
co2,all,co2_g_km,645,Inf,16000,4580
kml,benzin,km_l,0,6.1,4350,0
kml,benzin,km_l,6.1,8.0,3200,0
kml,benzin,km_l,8.0,10.0,2350,0
kml,benzin,km_l,10.0,12.0,1700,0
kml,benzin,km_l,12.0,14.0,1260,0
kml,benzin,km_l,14.0,16.0,920,0
kml,benzin,km_l,16.0,18.0,700,0
kml,benzin,km_l,18.0,20.0,520,0
kml,benzin,km_l,20.0,Inf,330,0
kml,diesel,km_l,0,8.1,4790,0
kml,diesel,km_l,8.1,10.0,3430,0
kml,diesel,km_l,10.0,12.0,2560,0
kml,diesel,km_l,12.0,14.0,1870,0
kml,diesel,km_l,14.0,16.0,1410,0
kml,diesel,km_l,16.0,18.0,1020,0
kml,diesel,km_l,18.0,20.0,720,0
kml,diesel,km_l,20.0,22.5,460,0
kml,diesel,km_l,22.5,Inf,230,0
