parameter,kategori,retning,enhed,Skoda_Enyaq_85,VW_ID4_Pro,Peugeot_e3008,Subaru_E_Outback,Toyota_bZ4X_Touring,Citroen_eC3
Maerke,faelles,info,navn,Skoda,VW,Peugeot,Subaru,Toyota,Citroën
Kontantpris,kontant,lav,kr,374995,339995,289990,369900,369990,169990
Batteri_kWh,faelles,info,kWh,77,79,73,74.7,74.7,44
Raekkevidde,faelles,info,km,525,570,525,526,528,320
Leasing_maaned,leasing,lav,kr,3950,4200,4300,6100,4300,2295
Leasing_foerstegangsydelse,leasing,lav,kr,29995,45000,14995,19995,19995,49995
Leasing_periode_mdr,leasing,info,mdr,48,48,48,36,36,36
Leasing_inkl_km_aar,leasing,info,km,20000,20000,20000,20000,20000,20000
Leasing_ekstra_km,leasing,lav,kr_km,1.0,1.0,1.0,1.0,1.0,1.0
Leasing_oprettelse,leasing,lav,kr,0,0,0,0,0,0
Leasing_aflevering,leasing,lav,kr,3500,3500,3500,1150,3500,3500
Leasing_inkl_service,leasing,info,0_1,1,1,1,1,1,1
Leasing_inkl_ejerafgift,leasing,info,0_1,0,0,0,0,0,0
Leasing_inkl_forsikring,leasing,info,0_1,0,0,0,0,0,0
Ejerafgift_aar,drift,lav,kr,1500,1500,1500,1500,1500,1200
Forsikring_aar,drift,lav,kr,8000,8000,8500,9000,9000,5500
Service_lille,drift,lav,kr,2200,2200,2100,2411.25,2495,1600
Service_stor,drift,lav,kr,3100,3100,3000,3366.53,3495,2300
Service_interval_km,drift,info,km,30000,30000,25000,15000,15000,25000
Service_transport,drift,lav,kr,0,0,0,0,100,0
Service_kilde,faelles,info,tekst,skøn,skøn,skøn,sourced,sourced,skøn
Daek_aar,drift,lav,kr,3000,3000,3000,3500,3500,2000
Garanti_aar,drift,info,aar,5,5,8,10,10,8
Afskrivning_manuel,faelles,info,pct,,,,,,
