parameter,kategori,retning,enhed,MG4,Hyundai_Inster,Nissan_Micra,Renault_5,Renault_4,Kia_EV2,VW_ID_Polo,Hyundai_Kona_E,Suzuki_e_Vitara,Toyota_Urban_Cruiser
Pris,oekonomi,lav,kr,174999,181990,189900,189990,199990,199999,212990,219995,229990,234990
Maerke,info,lav,navn,MG,Hyundai,Nissan,Renault,Renault,Kia,VW,Hyundai,Suzuki,Toyota
Varmepumpe,info,hoej,ja=1,1,1,1,1,1,1,1,1,1,1
Forkonditionering,info,hoej,ja=1,1,1,1,1,1,1,1,1,1,1
Doere,info,hoej,antal,5,5,5,5,5,5,5,5,5,5
Energiforbrug,oekonomi,lav,Wh/km,164,153,154,154,163,171,153,165,177,177
Raekkevidde,info,hoej,km,290,320,310,312,300,317,328,377,344,344
Batteri_kWh,info,hoej,kWh,41.9,42,40,40,40,42.2,37,48.6,49,48.8
Bagagerum,info,hoej,liter,480,280,326,326,420,362,441,466,238,238
Effekt_hk,info,hoej,hk,170,97,122,120,120,NA,135,156,144,144
Garanti_bil_aar,driftsikkerhed,hoej,aar,7,5,5,5,5,7,5,5,6,10
Garanti_km,info,hoej,km,150000,ubegrænset,100000,150000,150000,150000,150000,ubegrænset,150000,185000
Garanti_batteri_aar,info,hoej,aar,8,8,8,8,8,8,8,8,8,8
NCAP_stjerner,personsikkerhed,hoej,stjerner,5,4,4,4,4,NA,NA,4,NA,NA
NCAP_adult,info,hoej,pct,87,70,NA,80,NA,NA,NA,NA,NA,NA
NCAP_child,info,hoej,pct,85,81,NA,80,NA,NA,NA,NA,NA,NA
NCAP_vru,info,hoej,pct,85,70,NA,76,NA,NA,NA,NA,NA,NA
NCAP_safety_assist,info,hoej,pct,80,67,NA,68,NA,NA,NA,NA,NA,NA
