parameter,kategori,retning,enhed,Suzuki_e_Vitara,Citroen_eC5_Aircross,MG_MGS5,Peugeot_e3008,Hyundai_Ioniq5,Nissan_Ariya,Renault_Scenic,MINI_Countryman_E,VW_ID4_Pro,Subaru_Uncharted,Subaru_E_Outback,Volvo_EX40,Skoda_Enyaq_85x
Basispris,oekonomi,lav,kr,246990,259990,269999,279990,279995,299900,299990,300475,347990,349900,369900,374900,374995
Maerke,info,lav,navn,Suzuki,Citroën,MG,Peugeot,Hyundai,Nissan,Renault,MINI,VW,Subaru,Subaru,Volvo,Skoda
Varmepumpe,info,hoej,ja=1,1,1,1,1,1,1,1,1,1,1,1,1,1
Forkonditionering,info,hoej,ja=1,1,1,1,1,1,1,1,1,1,1,1,1,1
Doere,info,hoej,antal,5,5,5,5,5,5,5,5,5,5,5,5,5
Raekkevidde,komfort,hoej,km,426,520,477,525,570,536,625,462,570,495,526,576,525
Batteri_kWh,info,hoej,kWh,59.8,73.7,62.1,73.0,80.0,87.0,87.0,65.2,79.0,77.0,74.7,79.0,77.0
DC_ladeeffekt,komfort,hoej,kW,70,160,139,160,233,130,150,130,165,150,150,207,175
Motor_effekt,foere_sne,hoej,hk,174,211,228,213,228,242,220,201,286,343,380,252,286
Drivlinje_AWD,foere_sne,hoej,awd,0,0,0,0,0,0,0,0,0,1,1,0,1
Vaegt,info,lav,kg,1835,2184,1755,2183,2060,2121,1917,1940,2136,2189,2105,2075,2220
Frihoejde,foere_sne;fartbump,hoej,mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,211,211,NA,163
Bagagerum,rummelig,hoej,liter,238,565,453,588,520,468,545,460,533,403,669,410,585
Bagagerum_max,info,hoej,liter,562,1668,1441,1663,1580,1350,1670,1450,1565,NA,1718,1286,1710
Akselafstand,komfort,hoej,mm,2700,2795,2730,2739,3000,2775,2785,2692,2771,2750,2850,2702,2765
Daekside,fartbump,hoej,mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,NA,129
Anhaengertraek,info,hoej,kg,750,1250,750,1250,1600,750,1100,750,1000,1500,1500,1500,2000
Garanti_bil_aar,driftsikkerhed,hoej,aar,6,8,7,8,5,3,5,2,5,10,10,5,5
Garanti_batteri_aar,driftsikkerhed,hoej,aar,8,8,7,8,8,8,8,8,8,10,10,8,8
Garanti_km,info,hoej,km,150000,160000,150000,160000,ubegrænset,100000,150000,ubegrænset,150000,200000,200000,200000,150000
NCAP_stjerner,personsikkerhed,hoej,stjerner,NA,NA,NA,5,5,5,5,5,5,NA,5,5,5
NCAP_adult,info,hoej,pct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,94
NCAP_child,info,hoej,pct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,89
NCAP_vru,info,hoej,pct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,71
NCAP_safety_assist,info,hoej,pct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,82
Forhandler_afstand,forhandler,lav,km,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
